IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.9605,0.9939,0.3399,0.4134,0.9873,0.9833,0.5688,0.563,1.0,0.4663,0.4909,5.0
0.647,0.9053,0.6192,0.6859,0.7999,1.0,0.8737,0.8795,0.9197,0.7576,0.7682,5.0
0.7075,0.9085,0.5806,0.6454,0.8165,0.9971,0.8244,0.8274,0.9327,0.6643,0.6745,5.0
0.7556,0.9221,0.5334,0.6018,0.8458,0.9986,0.8123,0.8164,0.9379,0.6161,0.6141,5.0
0.5045,0.8193,0.9642,0.9666,0.6129,0.9917,0.9936,0.9918,0.8741,0.9488,0.9345,5.0
0.9539,0.9957,0.3493,0.4255,0.9854,0.9815,0.5685,0.5616,0.9983,0.4687,0.4851,5.0
0.4808,0.8173,1.0,1.0,0.5999,0.9935,1.0,1.0,0.8736,1.0,1.0,5.0
0.505,0.8199,0.9625,0.9656,0.6139,0.9924,0.9929,0.9918,0.8749,0.9481,0.9336,5.0
0.7552,0.9221,0.5334,0.6018,0.8458,0.9986,0.8123,0.8164,0.9379,0.6163,0.6143,5.0
0.8317,0.9807,0.3926,0.4711,0.9538,0.9862,0.6361,0.6315,0.9818,0.5831,0.5921,5.0
0.4451,0.8054,1.0599,1.0446,0.5722,0.9928,1.0309,1.0301,0.8632,1.1023,1.1087,5.0
0.8765,0.9806,0.1291,0.1299,0.984,0.9968,0.2451,0.2459,0.9938,0.5601,0.5116,6.0
0.8842,0.9842,0.0775,0.0783,0.9891,0.9935,0.2441,0.2441,0.9906,0.5465,0.5134,6.0
1.0,0.9837,0.0105,0.0106,0.9905,0.9883,0.066,0.0657,0.9932,0.4639,0.3527,6.0
0.7295,0.9796,0.2934,0.2951,0.9782,0.9899,0.5565,0.5544,0.973,0.6886,0.6356,6.0
0.9135,0.9808,0.0911,0.0918,0.9853,0.9896,0.2169,0.216,0.9879,0.5266,0.4842,6.0
0.8643,0.9844,0.0962,0.0972,0.9888,1.0,0.2789,0.2807,0.9955,0.5675,0.5308,6.0
0.9777,0.982,0.05,0.0504,0.9877,0.9885,0.085,0.0845,0.9926,0.4763,0.4132,6.0
0.9109,0.9826,0.076,0.0767,0.9875,0.9886,0.1914,0.1905,0.9881,0.526,0.4956,6.0
