benchmark,nsets,bsize,assoc,IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy
lbm,64,4,32,0.177551,3462.0,0.11294,391.0,3071.0,2709.0,0.149871,406.0,2303.0,13857420.0,12770235.0
lbm,64,1,16,0.159687,3397.0,0.129526,440.0,2957.0,2719.0,0.154469,420.0,2299.0,16338450.0,15282600.0
lbm,32,1,32,0.129094,3169.0,0.194699,617.0,2552.0,2748.0,0.216885,596.0,2152.0,19930965.0,18268785.0
lbm,16,2,16,0.088455,2841.0,0.337205,958.0,1883.0,2741.0,0.264137,724.0,2017.0,29963910.0,26805375.0
lbm,64,2,32,0.177592,3464.0,0.112587,390.0,3074.0,2709.0,0.149871,406.0,2303.0,13855140.0,12767955.0
lbm,64,2,16,0.170575,3443.0,0.118501,408.0,3035.0,2714.0,0.151437,411.0,2303.0,14551170.0,13756065.0
lbm,32,1,8,0.114895,3136.0,0.21588,677.0,2459.0,2760.0,0.232609,642.0,2118.0,23642535.0,21526815.0
lbm,32,1,16,0.125653,3147.0,0.202415,637.0,2510.0,2752.0,0.219477,604.0,2148.0,20730045.0,18901860.0
lbm,32,4,32,0.134181,3194.0,0.185974,594.0,2600.0,2756.0,0.216255,596.0,2160.0,19226325.0,17207880.0
lbm,16,2,32,0.089591,2838.0,0.336152,954.0,1884.0,2737.0,0.264523,724.0,2013.0,29609460.0,26187450.0
lbm,64,1,32,0.169406,3449.0,0.121774,420.0,3029.0,2709.0,0.151347,410.0,2299.0,14627820.0,13594995.0
lbm,16,1,16,0.085395,2831.0,0.34864,987.0,1844.0,2742.0,0.266229,730.0,2012.0,31206510.0,28022610.0
lbm,16,4,32,0.089684,2840.0,0.335563,953.0,1887.0,2739.0,0.26433,724.0,2015.0,29588400.0,26163030.0
lbm,32,2,32,0.134112,3194.0,0.185974,594.0,2600.0,2756.0,0.216255,596.0,2160.0,19233165.0,17214720.0
lbm,64,1,8,0.147704,3397.0,0.136885,465.0,2932.0,2722.0,0.169361,461.0,2261.0,18195135.0,16592175.0
lbm,16,1,8,0.079041,2790.0,0.369534,1031.0,1759.0,2740.0,0.274453,752.0,1988.0,34399590.0,31069425.0
hmmer,16,1,32,0.846566,3928118.0,0.00374,14690.0,3913428.0,3478312.0,0.010921,37988.0,3440324.0,4097774520.0,4072561050.0
hmmer,32,2,16,0.853951,3942861.0,0.002246,8855.0,3934006.0,3466827.0,0.010878,37712.0,3429115.0,3997977690.0,4086570690.0
hmmer,64,4,32,0.965834,3940791.0,0.000305,1200.0,3939591.0,3448411.0,0.002943,10148.0,3438263.0,3393733635.0,2807388765.0
hmmer,64,1,16,0.704538,3924102.0,0.008501,33358.0,3890744.0,3454003.0,0.024798,85653.0,3368350.0,5037613470.0,5059302465.0
hmmer,32,1,32,0.882319,3929239.0,0.00264,10374.0,3918865.0,3453037.0,0.009664,33370.0,3419667.0,3852208545.0,3854108520.0
hmmer,16,2,16,0.834731,3943508.0,0.002787,10990.0,3932518.0,3489350.0,0.012429,43368.0,3445982.0,4152108360.0,4224876390.0
hmmer,64,2,32,0.944326,3933880.0,0.001448,5697.0,3928183.0,3449172.0,0.003787,13063.0,3436109.0,3484920975.0,3289156845.0
hmmer,64,2,16,0.879767,3936222.0,0.002203,8670.0,3927552.0,3449742.0,0.008531,29431.0,3420311.0,3848212410.0,3944868375.0
hmmer,32,1,8,0.488294,3799213.0,0.026741,101595.0,3697618.0,3433240.0,0.040051,137503.0,3295737.0,7315918785.0,7959670170.0
hmmer,32,1,16,0.677121,4006021.0,0.007181,28766.0,3977255.0,3475287.0,0.023683,82304.0,3392983.0,5255089215.0,5299330365.0
